Title,Type,language,Date,Link
"ع / بيئي / برنامج تنمية القدرات البشرية ينظم سلسلة ""حوار القدرات"" ضمن فعاليات مؤتمر COP16 في الرياض",البيئة,عربى,12/7/2024 19:43,https://spa.gov.sa/w2220830
ع / ثقافي / الحضور الجماهيري يشعل مهرجان الملك عبدالعزيز للإبل مع انطلاق منافسات فئة السواحل 20,ثقافي,عربى,12/7/2024 19:44,https://spa.gov.sa/w2220831
ع / سياسي / سمو وزير الخارجية يلتقي وزير خارجية إيران,سياسي,عربى,12/7/2024 19:48,https://spa.gov.sa/w2220834
ع / ثقافي / مهرجان البحر الأحمر السينمائي الدولي في دورته الربعة يواصل فعالياته بعروض أولى لمجموعة من الأفلام السينمائية,ثقافي,عربى,12/7/2024 19:48,https://spa.gov.sa/w2220835
ع / عام / 100% نسبة إشغال خيام المبيت في الصياهد بالتزامن مع إجازة نهاية الأسبوع,عام,عربى,12/7/2024 19:49,https://spa.gov.sa/w2220836
ع / ثقافي / مركز خدمات الملاك يستقبل 315 زائرًا يوميًّا ويحقق نقلة نوعية في خدمات مهرجان الموحد,ثقافي,عربى,12/7/2024 19:50,https://spa.gov.sa/w2220838
ع / صحي / الرعاية الصيدلانية بتجمع جازان الصحي تطلق برنامج الاستخدام الأمثل للمضادات الحيوية,الصحة,عربى,12/7/2024 19:52,https://spa.gov.sa/w2220840
"ع / ثقافي / مرسال والعتيبي ينتزعان الأول في فردي مفاريد ودق قعدان ""حمر"" والكواري في الأصايل",ثقافي,عربى,12/7/2024 20:16,https://spa.gov.sa/w2220850
ع / صحي / عملية جراحية تنهي معاناة طفلة من حالة تشوه قلبي متقدم في المدينة المنورة,الصحة,عربى,12/7/2024 20:19,https://spa.gov.sa/w2220853
ع / ثقافي / فتاة سعودية تعمل من خلال مشروعها  إلى تحويل معالم وتراث العُلا لتصاميم مبتكرة ,اقتصادي,عربى,12/7/2024 20:20,https://spa.gov.sa/w2220854
ع / رياضي / الأهلي المصري يتعادل مع أورلاندو الجنوب أفريقي في دوري أبطال أفريقيا لكرة القدم,رياضي,عربى,12/7/2024 20:27,https://spa.gov.sa/w2220859
ع / ثقافي / الألكسو تعقد الاجتماع التحضيري الأوّل لإعداد ميثاق عربي لأخلاقيات الذكاء الاصطناعي,ثقافي,عربى,12/7/2024 20:31,https://spa.gov.sa/w2220862
ع / سياسي / سمو وزير الخارجية يلتقي وزير خارجية تركيا,سياسي,عربى,12/7/2024 20:44,https://spa.gov.sa/w2220867
ع / عام / الأمير سعود بن جلوي يشهد حفل مرور 30 عامًا على تأسيس مستشفى عبداللطيف جميل للتأهيل الطبي,عام,عربى,12/7/2024 21:06,https://spa.gov.sa/w2220874
"ع / بيئي / مركز الشباب العربي يعلن أسماء الفائزين في النسخة السادسة من مبادرة ""حلول شبابية""",البيئة,عربى,12/7/2024 21:11,https://spa.gov.sa/w2220875
ع / سياسي / الجزائر وجنوب أفريقيا يوقّعان على شراكة إستراتيجية,سياسي,عربى,12/7/2024 21:12,https://spa.gov.sa/w2220876
ع / بيئي / رؤساء تنفيذيون للمحميات الملكية يسلّطون الضوء على العلاقة الجوهرية بين الإنسان والطبيعة,البيئة,عربى,12/7/2024 21:32,https://spa.gov.sa/w2220878
ع / رياضي / الهدى يكسب الوحدة ضمن منافسات الدوري الممتاز لكرة اليد,رياضي,عربى,12/7/2024 21:33,https://spa.gov.sa/w2220879
ع / رياضي / الفارس الغامدي: خطوات اتحاد الفروسية مميزة وإيجابية من شأنها تطور الفارس السعودي,رياضي,عربى,12/7/2024 21:33,https://spa.gov.sa/w2220880
ع / عام / المركز الوطني للعمليات الأمنية يشارك ضمن جناح وزارة الداخلية في المعرض المصاحب لمؤتمر الأطراف الـ (16) لاتفاقية الأمم المتحدة لمكافحة التصحر (COP16) بالرياض,عام,عربى,12/7/2024 21:46,https://spa.gov.sa/w2220883
ع / رياضي / الاتفاق يكسب الخلج بهدفين لهدف في الجولة 13 من الدوري السعودي للمحترفين,رياضي,عربى,12/7/2024 21:47,https://spa.gov.sa/w2220885
